X_Label,Quant_Y_data,BM_Y_data
-8.6,0.00013440935830111658,0.031846732737372034
-8.4,0.00026262107381770135,0.03285006091062346
-8.2,0.00047848607318338814,0.033725451433416945
-8.0,0.0008242939081880252,0.034465984047071935
-7.8,0.0013229315969304815,0.03508169003917828
-7.6,0.001990147777419738,0.03559476943871255
-7.4,0.0028091090774479874,0.03601910876424534
-7.2,0.0037139357428694715,0.03636124097766192
-7.0,0.004607366838354448,0.03665251567007515
-6.8,0.00537033993745953,0.03691194676957834
-6.6,0.005907410596612897,0.03715817875014759
-6.4,0.006154929234396119,0.03741275237061722
-6.2,0.006158871536142719,0.03769305401220804
-6.0,0.006035277584688595,0.03801402675052369
-5.8,0.005972265809354235,0.03839837125348662
-5.6,0.006170429507134987,0.03885337124148355
-5.4,0.00680866685418889,0.03938605207570125
-5.2,0.007997399778876972,0.04000750964368584
-5.0,0.00972389696240474,0.04073371265330968
-4.8,0.01194112890443426,0.041556692011289344
-4.6,0.014534237313067458,0.042479634749446556
-4.4,0.017405914485390594,0.04351704932279188
-4.2,0.020529273737618543,0.04466540074437551
-4.0,0.023907690488790732,0.04591921058772347
-3.8,0.027595763035544292,0.0472804234817873
-3.6,0.03167925729332942,0.048764899425769
-3.4,0.03621241795916523,0.05035391084504701
-3.2,0.041318630013508884,0.052045258479945074
-3.0,0.04719986665092816,0.0538438476947487
-2.8,0.05410872469313803,0.05574271855148722
-2.6,0.06243877600418618,0.057725166739978885
-2.4,0.07241732337997604,0.05978084306866953
-2.2,0.08402043728791093,0.06190427194874363
-2.0,0.09696072207218226,0.06406752584286965
-1.8,0.11042182504116786,0.06625046729469107
-1.6,0.12347694297812087,0.06842921026137101
-1.4,0.13517240502473002,0.07057246690851605
-1.2,0.14502842890421255,0.0726542364869652
-1.0,0.15295495306659607,0.07464636722149878
-0.8,0.15943055091629765,0.07649918559655638
-0.6,0.1653024231776683,0.07819165311384409
-0.4,0.17146650951819872,0.07970116722180011
